author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
kambar,பரசுராமப் படலம்(பாலகாண்டம்-2),1494,1038,0.694779116,5.44042838,2.192569618,841,31,0.026104418,4.730815704,7.93270107,10.15212089,40,0.154793576,3.056894244,5.098976109,293,293,0.051194539,0.112627986,0.5221843,129,55,2.345454545,65.65517241,Happy,Positive
kambar,பிரமாத்திரப் படலம்(யுத்த காண்டம் - பகுதி 4),6347,4149,0.653694659,6.734362691,2.508913855,3249,88,0.015440366,4.675784802,7.980860527,10.44736778,41,0.17826146,3.748227509,6.216454456,1021,1021,0.083251714,0.131243879,0.442703232,543,184,2.951086957,59.0516129,Sad,Negative
kambar,பூக்கொய் படலம்(பாலகாண்டம்-2),1193,896,0.751047779,5.862531433,2.209378614,747,28,0.026823135,4.685606973,7.846102882,9.991504542,40,0.178450391,3.280804694,4.772,250,250,0.064,0.112,0.544,56,26,2.153846154,55.81481481,Happy,Positive
kambar,பொழில் இறுத்த படலம்(சுந்தர காண்டம் - 2),3089,2174,0.703787634,6.259307219,2.385024968,1755,35,0.015539009,4.657457969,7.927963224,10.28906185,40,0.173598321,3.538361929,5.678308824,544,544,0.064338235,0.080882353,0.544117647,235,120,1.958333333,63.22619048,Devotion,Positive
kambar,மகரக் கண்ணன் வதைப் படலம்(யுத்த காண்டம் - பகுதி 3),1090,888,0.814678899,6.322018349,2.229076322,781,13,0.017431193,4.63101556,7.869915165,9.997571552,40,0.175459256,3.488990826,6.337209302,172,172,0.040697674,0.122093023,0.494186047,115,16,7.1875,51.55555556,Sad,Negative
kambar,மந்திரப் படலம்(அயோத்தியா காண்டம் - 1),2460,1631,0.66300813,5.969512195,2.372669024,1271,34,0.018292683,4.625789086,7.817669639,10.08118406,40,0.169701265,3.358536585,5.578231293,441,441,0.095238095,0.088435374,0.589569161,200,50,4.0,60.95238095,Happy,Positive
kambar,மயேந்திரப் படலம்(கிட்கிந்தா காண்டம் - 2),750,626,0.834666667,6.081333333,2.308834819,541,7,0.014666667,4.664761841,7.83796468,9.811111882,39,0.180435167,3.409333333,6.465517241,116,116,0.017241379,0.068965517,0.586206897,48,17,2.823529412,57.14285714,Devotion,Positive
kambar,மாயா சனகப் படலம்(யுத்த காண்டம் - பகுதி 3),2651,1970,0.743115805,6.550358355,2.418652149,1638,41,0.015843078,4.706739565,8.011815669,10.37064595,41,0.183918977,3.632214259,6.513513514,407,407,0.056511057,0.100737101,0.498771499,194,87,2.229885057,64.65333333,Sad,Negative
kambar,மாயா சீதைப் படலம்(யுத்த காண்டம் - பகுதி 4),7174,4483,0.624895456,6.576526345,2.472189532,3488,122,0.018260385,4.701812091,8.028016959,10.53441515,41,0.174187662,3.653192083,5.885151764,1219,1219,0.080393765,0.114027892,0.51271534,624,247,2.526315789,65.2590799,Sad,Negative
kambar,மாரீசன் வதைப் படலம்(ஆரணிய காண்டம் - 2),6903,3988,0.577719832,5.999420542,2.364325059,3025,141,0.022164276,4.579778137,7.81488181,10.18805792,41,0.166851094,3.376213241,4.731322824,1459,1459,0.098012337,0.11446196,0.545579164,560,181,3.093922652,66.89208633,Sad,Negative
